id	Q_chn	Q	Time	Interp_chn	A_chn	A	Interp	Primary_id	Alter_id	Day_Stem
100	是否能按期完成重要文件提交？	Can you complete the submission of important documents on time?	癸巳年乙未月甲申日	"
父母爻旺动，显示文件提交进程较顺利。
世爻静而化吉，提示测者需注重细节核查。"	反馈文件按期提交，并获批准。?(六爻实战卦100例2)	Feedback documents were submitted on time and approved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents' lines are active, indicating that the document submission process is going smoothly.
The world is quiet and turns into auspiciousness, which reminds the tester to pay attention to details and check."	18.0	14.0	jia
101	是否适合近期转让手中的店铺？	Is it suitable to transfer the store in your hands in the near future?	癸巳年乙未月庚申日	"
财爻旺动，显示店铺转让有较高成功率。
世爻静，提示测者需选择合适的买家，确保利益最大化。"	反馈店铺顺利转让，价格符合预期。?(六爻名家卦例大收集47)	Feedback: The store was transferred smoothly and the price was in line with expectations. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating that the store transfer has a high success rate.
Shi Yaojing reminds testers to choose the right buyer to ensure maximum benefits."	14.0	33.0	geng
102	是否能通过评估获得贷款？	Can I get a loan with an appraisal?	乙未年壬午月甲子日	"
财爻旺动化进，显示贷款申请条件具备，审核较顺利。
世爻旺相，提示测者需准备充足材料以提高成功率。"	反馈贷款成功批复，资金按时到账。?(六爻实战卦100例2)	Feedback that the loan was successfully approved and the funds were received on time. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is prosperous and dynamic, indicating that the loan application conditions are met and the review is smooth.
The prosperous phase of the world reminds the test taker to prepare sufficient materials to increase the success rate."	42.0	25.0	jia
103	朋友是否能成功换工作？	Can friends successfully change jobs?	癸未年丙午月庚辰日	"
官鬼爻旺动，显示工作机会较多，但竞争压力大。
财爻静而得日扶，提示朋友需耐心等待时机。"	反馈朋友成功换岗，薪资有所提升。?(六爻实战卦100例2)	Feedback from a friend that he successfully changed his job and his salary increased. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are prosperous, indicating that there are more job opportunities, but the competition pressure is high.
The money line is quiet and supported by the sun, reminding friends that they need to be patient and wait for the opportunity."	40.0	41.0	geng
104	是否能顺利完成家庭装修？	Can the home renovation be successfully completed?	丙辰年甲午月庚寅日	"
父母爻旺动，显示装修计划实施顺利。
世爻静，提示测者需关注预算控制，避免超支。"	反馈装修按计划完成，整体满意。?(六爻名家卦例大收集47)	Feedback: The renovation was completed as planned and overall satisfactory. ?(A large collection of six-line hexagrams from famous masters, 47)	"Parents' excited movements indicate that the decoration plan is being implemented smoothly.
Shi Yaojing reminds test takers to pay attention to budget control and avoid overspending."	18.0	22.0	geng
105	是否适合参加朋友组织的合资项目？	Is it suitable to participate in a joint venture project organized by a friend?	癸未年壬午月乙亥日	"
财爻旺动，显示项目有较高可行性。
世爻静而化吉，提示测者需详细评估项目风险。"	反馈项目初期进展顺利，但后期收益略低于预期。?(六爻实战卦100例2)	The feedback project went well in the early stages, but later returns were slightly lower than expected. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the project has high feasibility.
The world is quiet and auspicious, prompting testers to evaluate project risks in detail."	13.0	9.0	yi
106	是否能找到失去联络的朋友？	Can you find a friend you've lost contact with?	甲午年乙未月庚寅日	"
兄弟爻旺动，显示朋友目前情况稳定。
世爻得日扶，提示测者需通过亲近关系重新取得联络。"	反馈朋友通过第三方主动联系测者，关系恢复。?(六爻实战卦100例2)	The feedback friend proactively contacted the tester through a third party, and the relationship was restored. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The brother's line is prosperous, indicating that the friend is currently in stable condition.
Shi Yao is supported by the day, suggesting that the tester needs to regain contact through close relationships."	45.0	37.0	geng
107	是否能顺利处理与客户的纠纷？	Can disputes with customers be handled smoothly?	癸巳年甲午月丁酉日	"
官鬼爻旺动，显示纠纷处理难度较大，但有解决希望。
财爻静，提示需合理让步以达成共识。"	反馈纠纷最终和解，双方满意。?(六爻名家卦例大收集47)	The feedback dispute was eventually settled to the satisfaction of both parties. ?(A large collection of six-line hexagrams from famous masters, 47)	"The strong movement of official and ghost lines indicates that it is difficult to resolve disputes, but there is hope for resolution.
Cai Yaojing indicates the need for reasonable concessions to reach a consensus."	31.0	50.0	ding
108	是否适合近期开展新产品开发？	Is it suitable for new product development in the near future?	癸未年丙午月乙亥日	"
财爻旺动化进，显示开发条件成熟。
世爻静，提示测者需控制成本，合理规划资源。"	反馈新产品开发成功，市场反响良好。?(六爻实战卦100例2)	Feedback: New product development was successful and market response was good. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is prosperous and dynamic, indicating that development conditions are mature.
Shi Yaojing reminds testers to control costs and plan resources reasonably."	42.0	19.0	yi
109	是否能顺利完成研究项目？	Can the research project be successfully completed?	甲午年癸未月庚辰日	"
子孙爻旺动，显示研究基础扎实，有成功可能。
世爻静而得日扶，提示测者需专注进展，避免分心。"	反馈项目按时完成，成果被认可。?(六爻实战卦100例2)	The feedback project was completed on time and the results were recognized. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The descendants are prosperous, which shows that the research foundation is solid and there is a possibility of success.
The world is quiet and the day is supported, suggesting that the tester needs to focus on progress and avoid distractions."	30.0	20.0	geng
110	是否能顺利完成近期重大交易？	Can you successfully complete recent major transactions?	丙辰年甲午月庚寅日	"
财爻旺动，显示交易的各项条件已成熟。
世爻化进，提示测者需注意流程细节，以确保交易顺利完成。"	反馈交易如期完成，双方满意。?(六爻实战卦100例2)	Feedback The transaction was completed as scheduled and both parties were satisfied. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the conditions for the transaction have matured.
Shiyaohuajin reminds testers to pay attention to the details of the process to ensure that the transaction is completed smoothly."	22.0	9.0	geng
111	是否能与亲戚和解？	Is it possible to reconcile with relatives?	甲午年乙未月丁酉日	"
兄弟爻旺动，显示家庭关系中存在沟通障碍。
世爻静而化退，提示和解需从双方理解与耐心入手。"	反馈矛盾逐步化解，家庭关系恢复和谐。?(六爻名家卦例大收集47)	Feedback conflicts are gradually resolved and family relationships are restored to harmony. ?(A large collection of six-line hexagrams from famous masters, 47)	"The brothers' lines are vigorous and active, indicating that there are communication barriers in family relationships.
The world fades away quietly, reminding that reconciliation requires understanding and patience from both parties."	37.0	33.0	ding
112	是否适合近期推出新营销活动？	Is it suitable to launch a new marketing campaign in the near future?	癸巳年甲午月乙亥日	"
财爻旺动化吉，显示营销活动时机良好，预期效果较佳。
世爻旺相，提示测者需注重活动创意及推广力度。"	反馈活动成功，客户转化率提升。?(六爻实战卦100例2)	The feedback campaign was successful and the customer conversion rate increased. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into good luck, indicating that the timing of marketing activities is good and the expected results are better.
The prosperity of the world reminds testers to pay attention to the creativity and promotion of activities."	42.0	14.0	yi
113	是否能顺利协调与同事的分歧？	Can you successfully reconcile differences with colleagues?	乙未年丙午月庚辰日	"
用神兄弟爻旺动，显示同事间的分歧有望调和。
世爻静，提示测者需耐心倾听并找到共同利益点。"	反馈矛盾化解，团队合作更加融洽。?(六爻实战卦100例2)	Feedback conflicts are resolved and teamwork becomes more harmonious. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Use the word ""God Brothers"" to show that differences between colleagues are expected to be reconciled.
The quiet world reminds testers to listen patiently and find common interests."	25.0	20.0	geng
114	是否能顺利完成年度考核目标？	Can you successfully complete the annual assessment goals?	甲申年乙未月庚寅日	"
官鬼爻旺动，显示考核目标具备实现的可能。
世爻旺相，提示测者需注重时间管理和计划执行。"	反馈目标如期完成，考核结果优秀。?(六爻实战卦100例2)	The feedback objectives were completed on schedule and the assessment results were excellent. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are moving vigorously, indicating that the assessment goals are likely to be achieved.
The prosperous aspect of the world reminds testers to pay attention to time management and plan execution."	13.0	31.0	geng
115	孩子是否能进入理想学校？	Will my child get into the ideal school?	癸未年壬午月丁卯日	"
子孙爻旺动，显示孩子具备进入理想学校的能力和条件。
世爻静，提示测者需协助孩子完善申请材料。"	反馈孩子成功入学，学习环境优越。?(六爻名家卦例大收集47)	Feedback: The child successfully entered school and the learning environment is excellent. ?(A large collection of six-line hexagrams from famous masters, 47)	"The children and grandchildren are prosperous, indicating that the child has the ability and conditions to enter the ideal school.
Shi Yaojing reminds test takers to help their children complete the application materials."	31.0	42.0	ding
116	是否能妥善处理客户投诉？	Can customer complaints be properly handled?	丙辰年癸未月庚寅日	"
财爻旺动，显示客户的投诉具有较大影响力。
世爻化吉，提示测者需冷静应对，提出有效解决方案。"	反馈投诉处理妥当，客户关系修复。?(六爻实战卦100例2)	Feedback complaints are properly handled and customer relationships are repaired. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that customer complaints have greater influence.
Shiyao turns into good luck, reminding testers to deal with it calmly and come up with effective solutions."	40.0	41.0	geng
117	是否适合近期开展团队建设活动？	Is it suitable for a team building activity in the near future?	癸巳年甲午月丁酉日	"
财爻旺动，显示团队建设活动能够增强凝聚力。
世爻旺相，提示测者需设计有吸引力的活动形式。"	反馈活动成功举办，团队氛围明显改善。?(六爻实战卦100例2)	The feedback event was successfully held and the team atmosphere was significantly improved. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that team building activities can enhance cohesion.
The prosperous phase of the world reminds the test taker to design attractive activities."	14.0	25.0	ding
118	是否能顺利完成年度销售目标？	Can the annual sales target be successfully achieved?	癸未年甲午月乙亥日	"
财爻旺动化吉，显示销售目标具备实现的可能性。
世爻静，提示测者需优化销售策略，合理分配资源。"	反馈销售目标提前完成，年度收益显著增长。?(六爻名家卦例大收集47)	Feedback showed that sales targets were achieved ahead of schedule and annual revenue increased significantly. ?(A large collection of six-line hexagrams from famous masters, 47)	"A prosperous financial line turns into auspiciousness, indicating that the sales target is likely to be achieved.
Shi Yaojing reminds testers that they need to optimize their sales strategies and allocate resources reasonably."	22.0	37.0	yi
119	是否适合近期参与大型展会？	Is it suitable to participate in large-scale exhibitions in the near future?	丙辰年壬午月庚寅日	"
财爻旺动，显示展会活动能够带来可观收益。
世爻静而得日扶，提示测者需充分准备展会相关物料。"	反馈展会表现良好，品牌知名度提升。?(六爻实战卦100例2)	Feedback: The exhibition performed well and brand awareness increased. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial fortune is prosperous, indicating that exhibition activities can bring considerable profits.
The world is quiet and the day is supported, reminding testers to fully prepare exhibition-related materials."	40.0	50.0	geng
120	近期是否适合扩大公司规模？	Is it suitable to expand the company in the near future?	癸巳年乙未月庚辰日	"
财爻旺动，显示公司扩张具备资源基础。
世爻旺相，提示测者需注意新领域的风险管控。"	反馈扩张顺利，业务范围拓展成功。?(六爻实战卦100例2)	Feedback is that the expansion is smooth and the business scope has been successfully expanded. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth is booming, indicating that the company has the resource base for expansion.
The prosperity of the world reminds testers to pay attention to risk management and control in new fields."	13.0	9.0	geng
121	是否能顺利完成孩子的入学手续？	Can the child's enrollment procedures be successfully completed?	甲申年乙未月庚寅日	"
父母爻旺动，显示入学手续办理较为顺利。
世爻静而化吉，提示测者需提前准备相关材料。"	反馈手续顺利完成，入学时间如期安排。?(六爻实战卦100例2)	The feedback procedures were successfully completed and the enrollment time was scheduled as scheduled. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents are very active, indicating that the admission procedures are relatively smooth.
The world is quiet and auspicious, suggesting that test takers need to prepare relevant materials in advance."	25.0	30.0	geng
122	是否能成功解决供应链问题？	Can supply chain issues be successfully addressed?	丙辰年甲午月乙亥日	"
财爻旺动化进，显示供应链问题具备解决可能。
世爻旺相，提示测者需主动协调各方资源。"	反馈供应链逐步恢复正常，生产稳定进行。?(六爻名家卦例大收集47)	Feedback indicates that the supply chain is gradually returning to normal and production is proceeding stably. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial situation is booming, indicating that supply chain problems may be solved.
The prosperous phase of the world reminds testers to take the initiative to coordinate resources from all parties."	42.0	45.0	yi
123	是否能顺利完成年度审计？	Can the annual audit be successfully completed?	癸巳年甲午月丁酉日	"
财爻旺动，显示审计材料准备充分。
世爻静，提示测者需重点关注数据细节。"	反馈审计顺利通过，无重大问题。?(六爻实战卦100例2)	The feedback audit passed successfully with no major issues. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial line is prosperous, indicating that the audit materials are well prepared.
Shi Yaojing reminds test takers to pay attention to the details of the data."	14.0	33.0	ding
124	是否能及时完成重要的维修项目？	Can important maintenance projects be completed in a timely manner?	甲午年乙未月庚辰日	"
父母爻旺动，显示维修过程进展顺利。
世爻静而化吉，提示测者需合理安排人力和预算。"	反馈维修如期完成，后续运行稳定。?(六爻实战卦100例2)	Feedback is that the maintenance was completed as scheduled and subsequent operations are stable. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents are moving vigorously, indicating that the repair process is progressing smoothly.
The world is quiet and auspicious, reminding testers that they need to reasonably arrange manpower and budget."	45.0	20.0	geng
125	是否能成功获取政府项目支持？	Can you successfully obtain government project support?	乙未年丙午月庚辰日	"
官鬼爻旺动，显示项目具备较高的政府支持可能性。
世爻旺相，提示测者需加强申请文件的完整性。"	反馈项目获批，资金及时到位。?(六爻名家卦例大收集47)	The feedback project was approved and funds were received in a timely manner. ?(A large collection of six-line hexagrams from famous masters, 47)	"The official and ghost lines are active, indicating that the project has a high possibility of government support.
The prosperity of the world reminds candidates to strengthen the integrity of application documents."	18.0	25.0	geng
126	是否适合近期与新客户合作？	Is it suitable to cooperate with new customers in the near future?	癸未年甲午月丁卯日	"
财爻旺动，显示新客户合作有较大潜力。
世爻静而化吉，提示测者需详细了解客户背景。"	反馈合作进展顺利，带来可观收益。?(六爻名家卦例大收集47)	Feedback The cooperation is progressing smoothly and has brought considerable benefits. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating that there is great potential for cooperation with new customers.
The world is quiet and auspicious, suggesting that testers need to understand the customer's background in detail."	42.0	9.0	ding
127	是否能找到合适的新员工？	Can you find suitable new employees?	丙辰年壬午月庚寅日	"
官鬼爻旺动，显示招聘条件合理，有较大可能找到理想人选。
世爻静而得日扶，提示测者需明确职位需求。"	反馈新员工表现优异，与团队配合融洽。?(六爻实战卦100例2)	Feedback that new employees perform well and work well with the team. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are active, indicating that the recruitment conditions are reasonable and it is more likely to find the ideal candidate.
The world is quiet and the day is supported, which reminds the test taker to clarify the job requirements."	31.0	50.0	geng
128	是否适合近期启动新技术项目？	Is it suitable for launching new technology projects in the near future?	甲午年乙未月庚辰日	"
财爻旺动化吉，显示项目启动条件良好。
世爻静而化退，提示测者需控制初期投入成本。"	反馈项目启动成功，进展平稳。?(六爻实战卦100例2)	Feedback: The project was launched successfully and progressed smoothly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into auspiciousness, indicating that the conditions for project start-up are good.
The world is quiet and receding, reminding testers that they need to control initial investment costs."	45.0	33.0	geng
129	是否能顺利完成公司内部的资源整合？	Can the company's internal resource integration be successfully completed?	癸巳年甲午月丁酉日	"
兄弟爻旺动，显示内部沟通与协调需加强。
世爻静而得日扶，提示整合进程需逐步推进。"	反馈整合顺利完成，提升了整体效率。?(六爻名家卦例大收集47)	Feedback integration was successfully completed, improving overall efficiency. ?(A large collection of six-line hexagrams from famous masters, 47)	"The brotherhood is flourishing, indicating that internal communication and coordination need to be strengthened.
The world is quiet but Japan is getting support, suggesting that the integration process needs to be advanced step by step."	25.0	18.0	ding
130	是否能顺利获取重要市场数据？	Can you successfully obtain important market data?	乙未年丙午月庚辰日	"
官鬼爻旺动，显示市场数据的获取渠道畅通。
世爻旺相，提示测者需与合作方保持良好关系。"	反馈数据及时到位，为后续决策提供了依据。?(六爻实战卦100例2)	Feedback data is received in a timely manner, providing a basis for subsequent decision-making. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Officials and ghosts are busy, indicating that the channels for obtaining market data are smooth.
The prosperity of the world indicates that the tester needs to maintain a good relationship with his collaborators."	40.0	50.0	geng
131	是否能通过融资解决资金难题？	Can funding problems be solved through financing?	癸未年乙未月庚寅日	"
财爻旺动化进，显示融资成功率较高。
世爻静，提示测者需关注投资方的需求与条款。"	反馈融资顺利完成，企业恢复现金流。?(六爻名家卦例大收集47)	Feedback The financing was successfully completed and the company resumed its cash flow. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial line is prosperous and dynamic, indicating a higher success rate in financing.
Shi Yaojing reminds testers to pay attention to the needs and terms of investors."	14.0	42.0	geng
132	是否能顺利解决员工离职问题？	Can the problem of employee resignation be successfully solved?	甲申年癸未月庚辰日	"
兄弟爻旺动，显示离职问题需通过内部协调解决。
世爻静而化吉，提示测者需做好情绪安抚和后续交接工作。"	反馈离职问题得到妥善解决，团队稳定性恢复。?(六爻实战卦100例2)	Feedback indicates that the resignation issue has been properly resolved and team stability has been restored. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The brothers are moving vigorously, indicating that the resignation issue needs to be resolved through internal coordination.
The world is quiet and auspicious, suggesting that the tester needs to do a good job in emotional comfort and follow-up handover work."	13.0	20.0	geng
133	是否适合近期扩大线上业务？	Is it suitable to expand online business in the near future?	癸巳年甲午月丁酉日	"
财爻旺动，显示线上业务具备较高发展潜力。
世爻静而化退，提示需优化线上资源配置。"	反馈业务扩展成功，流量和转化率均显著提高。?(六爻实战卦100例2)	Feedback indicates that the business has been successfully expanded and traffic and conversion rates have increased significantly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The wealth is booming, indicating that online business has high development potential.
The world is quiet and receding, suggesting the need to optimize online resource allocation."	42.0	45.0	ding
134	是否能及时完成紧急订单？	Can urgent orders be completed in time?	乙未年丙午月庚辰日	"
财爻旺动化吉，显示订单可如期交付。
世爻静，提示测者需协调好供应链与生产流程。"	反馈订单提前完成，客户满意度较高。?(六爻名家卦例大收集47)	Feedback is that orders are completed ahead of schedule and customer satisfaction is high. ?(A large collection of six-line hexagrams from famous masters, 47)	"A prosperous financial line turns into good luck, indicating that the order can be delivered as scheduled.
Shi Yaojing reminds testers to coordinate the supply chain and production process."	25.0	31.0	geng
135	是否能顺利推进海外合作项目？	Can overseas cooperation projects be smoothly promoted?	甲午年乙未月庚寅日	"
财爻旺动，显示合作项目的资源条件具备。
世爻旺相，提示测者需重点关注跨文化沟通的细节。"	反馈合作按计划推进，获得良好国际评价。?(六爻实战卦100例2)	Feedback Cooperation progressed as planned and received good international evaluation. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that the resource conditions for the cooperation project are available.
The prosperous appearance of Shi Yao reminds test takers to focus on the details of cross-cultural communication."	40.0	22.0	geng
136	是否适合近期启动家庭装修计划？	Is it suitable to start a home renovation plan in the near future?	癸未年甲午月丁酉日	"
父母爻旺动，显示装修条件成熟。
世爻静而化退，提示需控制预算，确保装修质量。"	反馈装修按时完成，家庭整体满意度高。?(六爻名家卦例大收集47)	Feedback: The renovation was completed on time and the overall family satisfaction was high. ?(A large collection of six-line hexagrams from famous masters, 47)	"The parents' lines are vigorous and active, indicating that the conditions for decoration are mature.
The world fades away quietly, suggesting the need to control the budget and ensure the quality of decoration."	45.0	33.0	ding
137	是否能及时解决库存积压问题？	Can the inventory backlog problem be solved in time?	癸巳年乙未月庚辰日	"
财爻旺动化进，显示库存问题可以通过调整销售策略解决。
世爻旺相，提示测者需寻找渠道创新突破口。"	反馈库存逐步清理，销售额明显提升。?(六爻实战卦100例2)	Feedback showed that inventory was gradually cleared and sales increased significantly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The financial situation is booming, indicating that inventory problems can be solved by adjusting sales strategies.
The prosperity of the world prompts testers to find breakthroughs in channel innovation."	14.0	9.0	geng
138	是否能如期完成团队内部培训计划？	Can the team's internal training plan be completed as scheduled?	甲午年乙未月庚辰日	"
父母爻旺动，显示培训资源充足。
世爻静而得日扶，提示测者需加强时间管理。"	反馈培训计划完成，团队技能显著提高。?(六爻实战卦100例2)	Feedback training program completed and team skills improved significantly. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Parents are active, which shows that training resources are sufficient.
The world is quiet and the day is supported, suggesting that the tester needs to strengthen time management."	31.0	50.0	geng
139	是否能成功调整产品定价策略？	Can you successfully adjust your product pricing strategy?	丙辰年壬午月庚寅日	"
财爻旺动化吉，显示定价策略的调整具备市场需求。
世爻化退，提示测者需综合考虑竞争对手和客户反馈。"	反馈调整后市场反应积极，销量有所提升。?(六爻名家卦例大收集47)	After the feedback adjustment, the market responded positively and sales increased. ?(A large collection of six-line hexagrams from famous masters, 47)	"The prosperity of wealth turns into good fortune, indicating that there is market demand for adjustments to pricing strategies.
Shi Yao is retreating, prompting testers to comprehensively consider competitor and customer feedback."	22.0	18.0	geng
140	是否适合近期购买设备？	Is it suitable to purchase equipment in the near future?	癸未年甲午月乙亥日	"
父母爻旺动，显示设备性能优越，购买条件良好。
世爻静而化吉，提示测者需对供应商进行充分评估。"	反馈设备购买顺利，使用效果良好。?(六爻实战卦100例2)	Feedback: The purchase of the equipment went smoothly and the results are good. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents are very active, indicating that the device has excellent performance and the purchase conditions are good.
The world is quiet and auspicious, prompting the tester to fully evaluate the supplier."	45.0	25.0	yi
141	是否能顺利与竞争对手达成合作？	Can you successfully cooperate with competitors?	甲申年乙未月庚辰日	"
财爻旺动，显示合作对双方有利。
世爻静而化进，提示测者需展现诚意，加强信任建立。"	反馈合作成功达成，双方关系融洽。?(六爻名家卦例大收集47)	Feedback The cooperation was successfully achieved and the relationship between the two parties was harmonious. ?(A large collection of six-line hexagrams from famous masters, 47)	"The money line is prosperous, indicating that cooperation is beneficial to both parties.
The world is quiet and evolving, reminding testers to show sincerity and strengthen trust building."	13.0	19.0	geng
142	是否能顺利完成年度战略规划？	Can the annual strategic plan be successfully completed?	癸巳年乙未月庚辰日	"
父母爻旺动，显示规划资源准备充分。
世爻旺相，提示测者需注重规划实施的落地细节。"	反馈战略规划顺利通过，公司目标明确。?(六爻实战卦100例2)	Feedback: The strategic plan was successfully passed and the company's goals are clear. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"Parents are active, indicating that planning resources are fully prepared.
The prosperity of the world reminds testers to pay attention to the implementation details of planning and implementation."	40.0	50.0	geng
143	是否能成功拓展新业务渠道？	Can you successfully expand new business channels?	癸未年甲午月丁卯日	"
财爻旺动，显示新渠道拓展机会较大。
世爻旺相，提示测者需注重市场调研及长期规划。"	反馈新业务渠道开拓成功，客户群显著增长。?(六爻名家卦例大收集47)	Feedback is that new business channels have been successfully developed and the customer base has grown significantly. ?(A large collection of six-line hexagrams from famous masters, 47)	"The wealth is booming, indicating greater opportunities for new channel expansion.
The prosperity of the world reminds testers to pay attention to market research and long-term planning."	42.0	30.0	ding
144	是否适合近期招募技术人员？	Is it suitable for recruiting technical personnel in the near future?	丙辰年壬午月庚寅日	"
官鬼爻旺动，显示技术人才资源丰富。
世爻静而化吉，提示测者需明确岗位职责及薪酬方案。"	反馈招募顺利，找到适配团队的技术骨干。?(六爻实战卦100例2)	Feedback is that the recruitment went smoothly and the technical backbone suitable for the team was found. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The prosperous movement of officials and ghosts indicates abundant technical talent resources.
The world is quiet and auspicious, reminding candidates that they need to clarify their job responsibilities and salary plan."	31.0	22.0	geng
145	是否能成功签署跨国合作协议？	Can a cross-border cooperation agreement be successfully signed?	癸巳年甲午月乙亥日	"
财爻旺动化吉，显示合作协议条件成熟。
世爻旺相，提示测者需关注文化差异及法律问题。"	反馈协议顺利签署，为公司开辟新市场。?(六爻实战卦100例2)	The feedback agreement was successfully signed, opening up new markets for the company. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"A prosperous financial line turns into auspiciousness, indicating that the conditions for a cooperation agreement are mature.
The prosperous phase of the world reminds testers to pay attention to cultural differences and legal issues."	14.0	33.0	yi
146	是否能及时解决家庭财务压力？	Can family financial pressure be resolved in a timely manner?	乙未年丙午月庚辰日	"
财爻旺动，显示收入提升或债务减少的可能性较大。
世爻静而化进，提示测者需严格控制支出。"	反馈家庭财务逐步改善，负担显著减轻。?(六爻实战卦100例2)	Feedback is that family finances have gradually improved and the burden has been significantly reduced. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money line is prosperous, indicating that there is a greater possibility of income increase or debt reduction.
The world is quiet and evolving, suggesting that testers need to strictly control their expenditures."	25.0	45.0	geng
147	是否能顺利开展新产品试销？	Can the trial sales of new products be successfully carried out?	甲午年癸未月庚寅日	"
财爻旺动，显示试销市场反馈积极。
世爻化退，提示测者需关注产品定价及用户需求。"	反馈试销成功，市场接受度高，订单增加。?(六爻名家卦例大收集47)	Feedback is that the trial marketing was successful, market acceptance was high, and orders increased. ?(A large collection of six-line hexagrams from famous masters, 47)	"The financial line is booming, indicating positive feedback from the test market.
The world has faded away, reminding testers to pay attention to product pricing and user needs."	42.0	19.0	geng
148	是否能按时完成房屋修缮？	Will the home repairs be completed on time?	癸巳年乙未月庚辰日	"
父母爻旺动，显示施工条件良好。
世爻旺相，提示测者需督促施工队确保工期。"	反馈修缮如期完成，质量优良。?(六爻实战卦100例2)	Feedback: The repairs were completed on schedule and the quality is excellent. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The parents' lines are vigorously moving, indicating that the construction conditions are good.
The prosperity of the world reminds testers to urge the construction team to ensure the construction schedule."	45.0	13.0	geng
149	是否能顺利处理商业纠纷？	Can business disputes be handled smoothly?	丙辰年壬午月庚寅日	"
官鬼爻旺动，显示纠纷有解决可能，但需时间协调。
世爻静而化吉，提示测者需尽量寻找调解方案。"	反馈纠纷最终和解，商业合作关系得以恢复。?(六爻实战卦100例2)	The feedback dispute was eventually settled and the business relationship was restored. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The official and ghost lines are moving vigorously, indicating that disputes may be resolved, but it will take time for coordination.
The world is quiet and auspicious, suggesting that testers need to try their best to find mediation solutions."	31.0	50.0	geng
150	是否能顺利安排子女的课外活动？	Can you successfully arrange your children's extracurricular activities?	癸未年甲午月丁卯日	"
子孙爻旺动，显示课外活动安排丰富且适合孩子。
世爻静，提示测者需协调时间安排与孩子兴趣。"	反馈活动安排妥当，孩子表现积极。?(六爻名家卦例大收集47)	Feedback activities are well arranged and children behave positively. ?(A large collection of six-line hexagrams from famous masters, 47)	"Children and grandchildren are prosperous, indicating that extracurricular activities are abundant and suitable for children.
The world is quiet, suggesting that test takers need to coordinate their time arrangements with their children's interests."	42.0	31.0	ding
151	是否能如期获得政府补助？	Can I get government subsidies as scheduled?	癸巳年甲午月丁酉日	"
财爻旺动，显示补助申请材料齐全且条件符合。
世爻静而化进，提示测者需及时跟进审核进展。"	反馈补助款按期到账，为公司注入资金。?(六爻实战卦100例2)	Feedback subsidies arrive on schedule, injecting funds into the company. ?(Example 2 of 100 Six Yao Practical Battle Hexagrams)	"The money is booming, indicating that the subsidy application materials are complete and the conditions are met.
The world is quiet and evolving, reminding testers that they need to follow up on the progress of the review in a timely manner."	25.0	22.0	ding
152										
153										
154										
